book_name,author_year,summary,link
Test-Driven Development with Python,"Harry J. W. Percival, 2015","By taking you through the development of a real web application from beginning to end, this hands-on guide demonstrates the practical advantages of test-driven development (TDD) with Python.",http://chimera.labs.oreilly.com/books/1234000000754/index.html
The R Inferno,"Patrick Burns, 2011","An essential guide to the trouble spots and oddities of R. In spite of the quirks exposed here, R is the best computing environment for most data analysis tasks.",http://www.burns-stat.com/pages/Tutor/R_inferno.pdf
The R Manuals,R Development Core Team,The R Manuals.,https://cran.r-project.org/manuals.html
Think Python 2nd Edition,"Allen Downey, 2015","This hands-on guide takes you through Python a step at a time, beginning with basic programming concepts before moving on to functions, recursion, data structures, and object-oriented design. Updated to Python 3.",http://greenteapress.com/wp/think-python-2e/
A First Course in Linear Algebra,"Robert A Beezer, 2012","This is an introduction to the basic concepts of linear algebra, along with an introduction to the techniques of formal mathematics. It has numerous worked examples, exercises and complete proofs, ideal for independent study.",http://linear.ups.edu/download.html
Elementary Applied Topology,"Robert Ghrist, 2014",This text gives a brisk and engaging introduction to the mathematics behind the recently established field of Applied Topology.,https://www.math.upenn.edu/~ghrist/notes.html
Elementary Differential Equations,"William F. Trench, 2013","This text has been written in clear and accurate language that students can read and comprehend. The author has minimized the number of explicitly state theorems and definitions, in favor of dealing with concepts in a more conversational manner.",http://ramanujan.math.trinity.edu/wtrench/texts/TRENCH_DIFF_EQNS_I.PDF
Introduction to Probability,"Charles M. Grinstead & J. Laurie Snell, 1997","This book is designed for an introductory probability course at the university level for sophomores, juniors, and seniors in mathematics, physical and social sciences, engineering, and computer science.",http://www.dartmouth.edu/~chance/teaching_aids/books_articles/probability_book/amsbook.mac.pdf
Linear Algebra,"David Cherney, Tom Denton & Andrew Waldron, 2013",,
Linear Algebra: An Introduction to Mathematical Discourse,Wikibooks,,
"Linear Algebra, Theory And Applications","Kenneth Kuttler, 2015",This book gives a self- contained treatment of linear algebra with many of its most important applications. It is very unusual if not unique in being an elementary book which does not neglect arbitrary fields of scalars and the proofs of the theorems,https://www.math.byu.edu/klkuttle/linearalgebra.pdf
Ordinary Differential Equations,Wikibooks,,
Probabilistic Models in the Study of Language,"R Levy, 2012",,
Probability and Statistics Cookbook,Matthias Vallentin,"The probability and statistics cookbook is a succinct representation of various topics in probability theory and statistics. It provides a comprehensive mathematical reference reduced to its essence, rather than aiming for elaborate explanations.",http://statistics.zone/
Cassandra Tutorial as a PDF,"Tutorials Point, 2015",,
CouchDB: The Definitive Guide,"J. Chris Anderson, Jan Lehnardt, & Noah Slater","Three of CouchDB’s creators show you how to use this document-oriented database as a standalone application framework or with high-volume, distributed applications.",http://guide.couchdb.org/
Extracting Data from NoSQL Databases,"Petter Näsholm, 2012",,
Graph Databases,"Ian Robinson, Jim Webber, & Emil Eifrem, 2013",Get started with O'Reilly's Graph Databases and discover how graph databases can help you manage and query highly connected data.,https://neo4j.com/graph-databases-book/?ref=home
Learn SQL The Hard Way,"Zed. A. Shaw, 2010",,
MongoDB Succinctly,Agus Kurniawan,"Essentials of the MongoDB system. Starting with creating a MongoDB database, you'll learn how to make collections and interact with their data, how to build a console application to interact with binary and image collection data, and much more.",https://www.syncfusion.com/ebooks/mongodb
NoSQL Databases,Christof Strauch,,
SQL for Web Nerds,Philip Greenspun,,
SQL Tutorial as a PDF,Tutorials Point,This tutorial will give you a quick start to SQL. It covers most of the topics required for a basic understanding of SQL and to get a feel of how it works.,http://www.tutorialspoint.com/sql/sql_tutorial.pdf
The Little MongoDB Book,"Karl Seguin, 2011","MongoDB is an open source NoSQL database, easily scalable and high performance. It retains some similarities with relational databases which, in my opinion, makes it a great choice for anyone who is approaching the NoSQL world.",http://openmymind.net/mongodb.pdf
A First Course in Design and Analysis of Experiments,"Gary W. Oehlert, 2010","Suitable for either a service course for non-statistics graduate students or for statistics majors. Unlike most texts for the one-term grad/upper level course on experimental design, this book offers a superb balance of both analysis and design.",http://users.stat.umn.edu/~gary/book/fcdae.pdf
An Introduction to Statistical Learning with Applications in R,"Gareth James, Daniela Witten, Trevor Hastie, & Robert Tibshirani, 2013","This book presents some of the most important modeling and prediction techniques, along with relevant applications. Topics include linear regression, classification, resampling methods, shrinkage approaches, tree-based methods, and much more.",http://www-bcf.usc.edu/~gareth/ISL/ISLR%20Fourth%20Printing.pdf
Artificial Intelligence: Foundations of Computational Agents,"David Poole & Alan Mackworth, 2010",This is a textbook aimed at junior to senior undergraduate students and first-year graduate students. It presents artificial intelligence (AI) using a coherent framework to study the design of intelligent computational agents.,http://artint.info/html/ArtInt.html
Intro Stat with Randomization and Simulation,"David M Diez, Christopher D Barr, & Mine Çetinkaya-Rundel, 2015","The foundations for inference are provided using randomization and simulation methods. Once a solid foundation is formed, a transition is made to traditional approaches, where the normal and t distributions are used for hypothesis testing and...",https://www.openintro.org/stat/textbook.php?stat_book=isrs
OpenIntro Statistics,"David M Diez, Christopher D Barr, & Mine Çetinkaya-Rundel, 2015","Probability is optional, inference is key, and we feature real data whenever possible. Files for the entire book are freely available at openintro.org.",https://www.openintro.org/stat/textbook.php?stat_book=os
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction","Trevor Hastie, Robert Tibshirani, & Jerome Friedman, 2008","This book describes the important ideas in a variety of fields such as medicine, biology, finance, and marketing in a common conceptual framework. While the approach is statistical, the emphasis is on concepts rather than mathematics.",http://statweb.stanford.edu/~tibs/ElemStatLearn/printings/ESLII_print10.pdf
Think Bayes: Bayesian Statistics Made Simple,"Allen B. Downey, 2012","Think Bayes is an introduction to Bayesian statistics using computational methods. The premise of this book, and the other books in the Think X series, is that if you know how to program, you can use that skill to learn other topics.",http://greenteapress.com/thinkbayes/
Think Stats: Exploratory Data Analysis in Python,"Allen B. Downey, 2014","This concise introduction shows you how to perform statistical analysis computationally, rather than mathematically, with programs written in Python.",http://greenteapress.com/thinkstats2/thinkstats2.pdf
